央视,#genre#
安徽卫视,http://111.20.33.70/PLTV/88888893/224/3221226196/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225737/index.m3u8
东南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225657/index.m3u8
湖北卫视,http://111.20.33.70/PLTV/88888893/224/3221226206/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225740/index.m3u8
河北卫视,http://39.136.48.51:8089/PLTV/88888888/224/3221225779/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225610/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225732/index.m3u8#http://39.134.65.153/PLTV/88888888/224/3221225961/index.m3u8#http://39.134.65.154/PLTV/88888888/224/3221225961/index.m3u8#http://39.134.65.155/PLTV/88888888/224/3221225961/index.m3u8#http://39.134.65.156/PLTV/88888888/224/3221225961/index.m3u8
辽宁卫视,http://111.20.33.70/PLTV/88888893/224/3221226201/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225735/index.m3u8
四川卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225733/index.m3u8
重庆卫视,http://111.20.33.70/PLTV/88888893/224/3221226202/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225734/index.m3u8
云南卫视,http://39.136.48.51:8089/PLTV/88888888/224/3221226525/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225664/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225664/index.m3u8
贵州卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225728/index.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225746/index.m3u8
河南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225611/index.m3u8?fmt=ts2hls
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225729/index.m3u8#http://61.164.158.13/livepull.sxiptv.cn/live/shanxiweishihd.flv#http://111.20.33.93/PLTV/88888893/224/3221226356/index.m3u8
吉林卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225680/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225981/index.m3u8
广西卫视,http://39.136.48.51:8089/PLTV/88888888/224/3221226402/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226211/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225731/index.m3u8
海南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226212/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225722/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225530/index.m3u8
山西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225730/index.m3u8#https://livehhhttps.sxrtv.com/lsdream/q8RVWgs/fsh8gVl.m3u8
青海卫视,http://39.136.48.51:8089/PLTV/88888888/224/3221226400/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225727/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
宁夏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225726/index.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225724/index.m3u8#http://39.134.32.102:6610/270000001111/1110000322/index.m3u8?IASHttpSessionId=OTT
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225725/index.m3u8
西藏卫视,http://111.40.196.31/PLTV/88888888/224/3221225651/index.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225667/index.m3u8#http://[2409:8087:1070:301:2028::1c]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225676/index.m3u8?fmt=ts2hls
兵团卫视,http://111.20.33.70/PLTV/88888893/224/3221226214/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226200/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226214/index.m3u8
大湾区卫视,http://39.134.66.66/PLTV/88888888/224/3221226020/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226203/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226218/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226218/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226218/index.m3u8
延边卫视,http://39.134.66.66/PLTV/88888888/224/3221226040/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226201/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221226040/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226220/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226220/index.m3u8
黄河卫视,http://liveflash.sxrtv.com/live/huanghe.m3u8
三沙卫视,http://pull2.ssws.tv/live/SswsTV20210803.m3u8
厦门卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226219/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226199/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226219/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226219/index.m3u8#http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226246/1/index.m3u8?fmt=ts2hls
kaku 少儿,http://39.134.66.66/PLTV/88888888/224/3221225562/index.m3u8#http://39.134.65.164/PLTV/88888888/224/3221225562/index.m3u8#http://111.62.156.15/pull.brtvcloud.com/brtv8kapptv/brtv8kappkaku.m3u8
哈哈炫动,http://111.20.33.70/PLTV/88888893/224/3221226213/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225720/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226213/index.m3u8
